"","date","hour","j_day","day_time","month","year","filename"
"1","2013-01-01","13:00:00","1","da","01","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13001lst_da"
"2","2013-01-01","01:00:00","1","ni","01","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13001lst_ni"
"3","2013-01-09","13:00:00","9","da","01","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13009lst_da"
"4","2013-01-09","01:00:00","9","ni","01","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13009lst_ni"
"5","2013-01-17","13:00:00","17","da","01","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13017lst_da"
"6","2013-01-17","01:00:00","17","ni","01","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13017lst_ni"
"7","2013-01-25","13:00:00","25","da","01","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13025lst_da"
"8","2013-01-25","01:00:00","25","ni","01","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13025lst_ni"
"9","2013-02-02","13:00:00","33","da","02","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13033lst_da"
"10","2013-02-02","01:00:00","33","ni","02","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13033lst_ni"
"11","2013-02-10","13:00:00","41","da","02","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13041lst_da"
"12","2013-02-10","01:00:00","41","ni","02","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13041lst_ni"
"13","2013-02-18","13:00:00","49","da","02","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13049lst_da"
"14","2013-02-18","01:00:00","49","ni","02","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13049lst_ni"
"15","2013-02-26","13:00:00","57","da","02","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13057lst_da"
"16","2013-02-26","01:00:00","57","ni","02","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13057lst_ni"
"17","2013-03-06","13:00:00","65","da","03","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13065lst_da"
"18","2013-03-06","01:00:00","65","ni","03","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13065lst_ni"
"19","2013-03-14","13:00:00","73","da","03","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13073lst_da"
"20","2013-03-14","01:00:00","73","ni","03","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13073lst_ni"
"21","2013-03-22","13:00:00","81","da","03","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13081lst_da"
"22","2013-03-22","01:00:00","81","ni","03","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13081lst_ni"
"23","2013-03-30","13:00:00","89","da","03","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13089lst_da"
"24","2013-03-30","01:00:00","89","ni","03","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13089lst_ni"
"25","2013-04-07","13:00:00","97","da","04","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13097lst_da"
"26","2013-04-07","01:00:00","97","ni","04","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13097lst_ni"
"27","2013-04-15","13:00:00","105","da","04","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13105lst_da"
"28","2013-04-15","01:00:00","105","ni","04","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13105lst_ni"
"29","2013-04-23","13:00:00","113","da","04","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13113lst_da"
"30","2013-04-23","01:00:00","113","ni","04","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13113lst_ni"
"31","2013-05-01","13:00:00","121","da","05","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13121lst_da"
"32","2013-05-01","01:00:00","121","ni","05","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13121lst_ni"
"33","2013-05-09","13:00:00","129","da","05","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13129lst_da"
"34","2013-05-09","01:00:00","129","ni","05","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13129lst_ni"
"35","2013-05-17","13:00:00","137","da","05","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13137lst_da"
"36","2013-05-17","01:00:00","137","ni","05","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13137lst_ni"
"37","2013-05-25","13:00:00","145","da","05","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13145lst_da"
"38","2013-05-25","01:00:00","145","ni","05","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13145lst_ni"
"39","2013-06-02","13:00:00","153","da","06","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13153lst_da"
